term,sim_hosp,sim_praise,margin,freq,group
abencoada,0.4395700097084045,0.3812675774097442,0.0583024322986602,25,abenc
aproveitassemos,0.4394904673099518,0.343918114900589,0.0955723524093627,31,aprov
exercitar,0.4393773972988128,0.4031752347946167,0.0362021625041961,32,exerc
administrada,0.4391459822654724,0.3166943788528442,0.1224516034126281,60,admin
demonstra,0.438689261674881,0.2301907986402511,0.2084984630346298,68,demon
duradoura,0.4384723603725433,0.2288266122341156,0.2096457481384277,31,durad
saudades,0.4383971989154815,0.3452083468437195,0.093188852071762,46,sauda
comprometidos,0.4382106065750122,0.4016648530960083,0.0365457534790039,53,compr
tipico,0.4382093846797943,0.3506981134414673,0.087511271238327,42,tipic
expertise,0.4381333589553833,0.298360526561737,0.1397728323936462,116,exper
respeitoso,0.437977522611618,0.4110110402107239,0.0269664824008941,206,respe
proporcionam,0.4377288222312927,0.3387568593025207,0.0989719629287719,49,propo
carater,0.4372358620166778,0.3440920710563659,0.0931437909603118,33,carat
crescer,0.4372250437736511,0.2831057906150818,0.1541192531585693,148,cresc
paixao,0.4371330142021179,0.3435766696929931,0.0935563445091247,698,paixa
humano,0.4370679259300232,0.3154800236225128,0.1215879023075103,116,human
abencoado,0.4363376200199127,0.3393525779247284,0.0969850420951843,25,abenc
studios,0.4363292455673218,0.3993359804153442,0.0369932651519775,30,studi
delicadeza,0.4362560212612152,0.3673966228961944,0.0688593983650207,33,delic
perspicazes,0.4361394345760345,0.3228290677070617,0.1133103668689727,29,persp
bailarinos,0.4361109733581543,0.2969877123832702,0.139123260974884,36,baila
guiaram,0.4360083341598511,0.3378868699073791,0.0981214642524719,34,guiar
aroma,0.4358363747596741,0.3704439699649811,0.065392404794693,45,aroma
srta,0.4357583820819855,0.402886152267456,0.0328722298145294,70,srta
atelier,0.4356878697872162,0.3924948275089264,0.0431930422782897,45,ateli
incentivando,0.4355691373348236,0.259880930185318,0.1756882071495056,48,incen
compartilhamos,0.4351393282413482,0.3781049251556396,0.0570344030857086,26,compa
massagem,0.4347465336322784,0.3429082930088043,0.0918382406234741,48,massa
tratada,0.4345330893993377,0.1739290952682495,0.2606039941310882,33,trata
enfase,0.4342887699604034,0.4135239422321319,0.0207648277282714,31,enfas
italiana,0.4340599477291107,0.4038883149623871,0.0301716327667236,81,itali
