,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,prevalence
luxuosa,0.043810151490414596,0.01832099716093977,-0.001860064830143554,-0.04826815935765508,0.10298588115652481,-0.09053472958184375,-0.09097483401022947,-0.01495097043975917,-0.02297672868266374,0.012624830793170796,0.0924986247491558,0.05265307262124001,-0.014939996144761027,-0.43545579977681825,0.06795278005873505,0.008468231271102201,-0.061839445547738695,0.004922279792746114
manu,0.018909036726135656,0.11667332516531427,-0.03354010056531874,-0.06444864438492576,-0.053786282346747614,-0.017155824533429443,0.009002609132541688,0.1389197232270412,-0.13486873812247097,-0.08409153368083626,0.20704675999180303,-0.10718261345579864,-0.014502123483460146,-0.0762213721532735,0.12267006925551976,-0.044851408905044333,0.12230003971786708,0.006496612196094062
maravilhosa/maravilhoso,0.008828441215434212,0.009257420540013089,-0.03794417305473433,0.02331937541934148,0.039878889665623085,-0.09000748517187841,-0.11608931932011915,-0.08807813739498126,0.021971067836361814,0.07788987636400622,-0.01950921834622818,0.5009382785544232,0.030259308308308985,0.06866037395610715,0.03811549919280607,0.05353358295541127,0.06922964668108664,0.11725787166201675
motiva/motivacao/motivado/motivador,-0.09556079527679408,0.28580972098142005,-0.08076209543581471,-0.09989767772908728,0.009224932475115353,-0.0038705915795810533,0.001983188013183763,-0.1162749998179099,0.29175112781686563,-0.017607930850035685,-0.15304058464671041,-0.032690141428834675,-0.08633571247974953,-0.24248910275104163,0.03222624832190817,-0.10277365458945519,-0.045078404449989645,0.010781187724192906
pacientes,0.10297112010131151,0.4020729762997783,-0.0018482216465263831,0.0463468022872543,-0.17141131775775403,0.02681716954605457,-0.01651199608349635,-0.2302792247751958,-0.08301622204435387,-0.11398313461249637,0.1586806361409465,0.13447718468026312,-0.0916927050246747,0.08093158118325772,-0.0735216243509388,-0.057723739996503064,0.06524805240282032,0.03686727779992029
pareca,-0.03068218640040569,0.03772180031737094,-0.0794846377044539,-0.21709970631114986,0.0340488407221401,-0.017148568409057895,-0.05826974296692083,-0.18313927986112988,-0.008191462133590531,-0.016262741469209908,0.2248414932690139,-0.26560385940110415,-0.09639884548497384,0.0049669920745923895,0.07709496986634351,0.07665985010594448,-0.00908629218095666,0.02616580310880829
positiva/positividade,-0.013776258442547182,0.08608168958908803,-0.05584828229692283,-0.096390303968092,-0.05227690912359881,-0.0029768347332361058,-0.022265304644758455,0.06271581953248366,0.5617483088125774,-0.07143273508089985,-0.026664972834975917,0.07302038211060964,-0.11031400325908611,-0.05600609467703872,-0.022020822034495038,-0.0555774746218281,0.0368046947658166,0.01562375448385811
prazerosa,0.35800773064627195,-0.015220672450228382,-0.0731215845991377,-0.03595317583395978,-0.02063969037681563,0.021384719426003895,-0.09006265769189521,0.0193924493474283,0.00231913366156877,0.010775682456764352,0.0846058634092023,0.008955239360076826,0.0421295920283695,-0.013560980574775807,-0.14845901062215333,-0.0727900437411102,0.09622796637060162,0.01815464328417696
prestativas/presteza,0.019332429562680387,0.005955322275888802,0.04954194282631666,-0.05605340374305708,-0.6513605852726424,-0.0074324407017903335,-0.06737820290723502,-0.007321700735600297,0.017203556357602384,-0.004043193138684691,0.02253373621750901,0.041248604833125646,-0.04736635432880609,0.005346200160682492,0.006441362082035569,-0.03985651892060699,-0.04683040942229891,0.06895177361498606
promovendo,0.12306670149059562,0.14557114962888634,-0.08526355948168665,-0.12107698569734926,-0.03337448509542949,0.0007388098845135064,0.05048819809172791,0.3749694324977457,0.10329483165800013,0.09375535484385743,-0.04347306884652112,-0.07390021154482589,0.07012093309057546,0.23724054283180226,-0.09795639761940582,0.0554187661261702,-0.04636930402502708,0.005261060183339976
queridas,-0.022556385704568943,-0.01688118196586675,0.0004369421096939244,-0.24691374771110078,0.011607906755886563,0.04575494141744792,-0.016279506634240794,-0.3055269771485444,-0.09398252319419334,0.04276748889482992,0.005050821063388196,0.08359919542290012,-0.07398384659446255,0.06843011869693354,-0.0033159837360498203,-0.004780105635823257,0.10189737722444411,0.026883220406536467
recebida,-0.12797227867343297,0.015153975080657642,0.009284599219723614,-0.3739152241934304,-0.047141279009033366,-0.21138114163046476,-0.09077975355712183,-0.05185449274507358,0.034174698140777435,-0.0713264005581307,-0.138585791596709,-0.09815147733320764,-0.05265578719324945,0.13635625638774038,-0.10204365793108712,0.07005803023480424,0.13068944283615908,0.039577520924671185
receptiva/receptividade,-0.09203685967686204,0.07780001935296642,-0.037890936781390806,-0.19488499206057616,-0.08642546370693234,-0.3299363335489986,-0.06374002240177264,0.12198023969733461,-0.03262791138822708,-0.2757697858884477,0.14386430244466414,0.1433465411560765,0.16634000583107145,0.07664402007487632,0.17986106306272837,-0.06092704049970143,0.054876707772222505,0.020326823435631726
relaxados/relaxante/relaxantes,0.04511001502615118,-0.049907758374241384,-0.12337297376833822,0.01564031191737809,-0.05577489577575185,-0.005027034782981062,-0.06510252782990375,-0.040140491746822486,0.06975541867197609,0.1897579040090502,0.5046515627066137,0.021610034870103243,0.06714382508462113,-0.1458488614310347,-0.05287365019170613,0.07706248768782432,0.05195627985258344,0.01974890394579514
respeitada/respeitosa,-0.039111383595477965,-0.00036805901006486215,-0.04813251773980439,-0.09144048661812786,0.09079718376822785,0.00038493004705042943,-0.07352286171606015,0.06695637051162985,0.025196417398584116,-0.024058909219020753,0.04418780981390559,0.0011986226010610242,-0.4722316738440208,0.10529090332707049,-0.08205769119087405,-0.07448384566816428,0.013515330967344317,0.022359505779194898
sente,-0.07299308550620508,0.004842514344108678,-0.09080247071833054,-0.05098643045529978,0.04620418011772376,-0.03301265456623716,-0.04622641626911324,0.008570075869768103,0.13863750735261265,0.12282085375915602,0.12957509069852552,0.036934617550669895,0.014101361601656473,0.1356126843672556,0.3315128259318305,-0.08924361626843808,-0.025490080878239632,0.005679553607014747
sentir,0.04283665914658607,0.08913180629709955,-0.134197013709011,-0.1134282222501286,-0.013462106364113685,-0.14709875284352247,-0.17785100388890668,-0.24044716319641468,0.05444975540803936,0.30472363250823004,0.1480041107020682,-0.09875479301330617,-0.07648990948925627,-0.002172664247179465,-0.017300663094804426,-0.135526556111287,0.1052998421376911,0.0541052212036668
simpatia/simpatica/simpaticos,-0.02141825507821207,-0.04416548151123106,-0.12541161526748426,-0.013890140678237347,-0.5843228656579953,0.047109239041304006,-0.030811211648492744,0.03059891601938909,0.01176237926788466,0.05684827624757876,-0.01624032440500342,-0.05609124711218312,0.09038286001985527,0.010932693455866806,0.05499732051432465,0.08605941064103133,0.08912834920563223,0.07391390992427262
solidaria/solidario/solidarios,0.050708973622770936,0.11091722991869012,-0.11556532509953298,-0.040508775354827685,0.014118532931939777,-0.03824996557056286,0.05325005897919107,-0.1828509340834421,0.08979082942006046,-0.17507659322062333,0.07224689549878861,0.04497992229117261,-0.05553699068455782,0.15646912880405614,-0.10693943042697149,-0.08652214341023555,-0.3442629563392542,0.004204862495017936
sorridente/sorrindo/sorriso,-0.015007337903363269,0.028350678481592503,-0.011823341970980363,-0.018177877166259366,-0.15131222900630512,-0.17038081424483767,-0.027792236890532753,-0.07101885784880499,0.0728452049220074,-0.14531978101720275,0.0019272996519057724,-0.09855385896538395,-0.05581064136536989,0.08276504780539347,-0.046652455412713484,-0.025778970155050308,0.5108845543652828,0.00827022718214428
transformadora,0.15895291051553792,-0.008459835418688694,0.025070007135454885,-0.33889998140775784,0.04226804893854971,0.0187821692141281,-0.15154191926862784,0.042592810530446966,0.0036072268464810786,0.10365717317142552,0.12983342938532494,0.00940913455841162,-0.045671471425292244,-0.09486286773388596,0.08471429368262534,-0.12182527827115293,0.013547208039683737,0.04918294141092069
trazendo,0.02647679994653208,0.08526238902043766,0.02177710241573317,-0.05526059536600263,-0.03226383221386801,-0.021642421618708368,0.02802490784850554,-0.027322811944304786,0.01364570167811891,0.0021131869722346296,-0.056653351436364796,0.005007045460481376,-0.014837699027283153,-0.025813410958707293,0.5233162012496969,0.08020248628791127,0.0416785333391752,0.004424073335990435
verdadeiramente,0.41173881726865247,0.06408808367600496,-0.04734915486288398,-0.06455745082113498,0.05831963020030014,-0.15875303799439341,-0.1505526960366602,-0.09988297794145747,0.07111740972489851,0.04172151263810501,0.031081980512296454,-0.06442517715133027,-0.14804142612116997,-0.034742105328935416,0.03642578439809237,0.002972163159741777,0.007360673575585811,0.04302510960542048
vibracao/vibracoes,0.17614613820891445,-0.11526772122564057,0.011029716733968799,9.764501594235279e-05,-0.03611437078620358,-0.013587460797418236,0.0025255722674907954,-7.600179579953722e-05,0.5189700710648716,0.09081146631485842,0.10792224598511548,-0.09208027412902998,0.05338096776801281,0.14889033119474115,0.05590429331178582,0.16617343031805792,-0.03023357095510993,0.011279394180948586
