term,sim_hosp,sim_praise,margin,freq,group
prazerosa,0.5103574991226196,0.4526504576206207,0.0577070415019989,28,praze
dedicados,0.5101612210273743,0.3472388684749603,0.16292235255241394,103,dedic
pareca,0.5098459124565125,0.33943337202072144,0.17041254043579102,29,parec
inspira,0.5090119242668152,0.29114052653312683,0.21787139773368835,40,inspi
vibe,0.5084329843521118,0.41713908314704895,0.09129390120506287,101,vibe
terapeutica,0.5069275498390198,0.38289111852645874,0.12403643131256104,32,terap
dedicam,0.5064936876296997,0.33741480112075806,0.16907888650894165,32,dedic
incentivam,0.5048633813858032,0.3147997558116913,0.19006362557411194,28,incen
ativa,0.5043514370918274,0.3572927415370941,0.14705869555473328,29,ativa
respeitada,0.5042779445648193,0.36535143852233887,0.13892650604248047,26,respe
kholoud,0.5029531717300415,0.4263681471347809,0.07658502459526062,29,kholo
sereno,0.5015914440155029,0.4304560720920563,0.07113537192344666,56,seren
genuina,0.5014131665229797,0.30829915404319763,0.1931140124797821,100,genui
queridas,0.5003114342689514,0.3544301390647888,0.1458812952041626,27,queri
comunidade,0.4966503083705902,0.2531779706478119,0.24347233772277832,333,comun
luxuosa,0.49571672081947327,0.42949017882347107,0.0662265419960022,63,luxuo
contribuiram,0.49549081921577454,0.4342527687549591,0.06123805046081543,29,contr
competentes,0.49411147832870483,0.4390893280506134,0.05502215027809143,114,compe
diretora,0.493960440158844,0.36721304059028625,0.12674739956855774,41,diret
calmo,0.49389374256134033,0.44560861587524414,0.04828512668609619,139,calmo
enriqueceram,0.49314752221107483,0.4186108708381653,0.07453665137290955,31,enriq
fofa,0.49310991168022156,0.38002875447273254,0.11308115720748901,41,fofa
interacao,0.4928726851940155,0.3098902106285095,0.18298247456550598,95,inter
solidarios,0.49226486682891846,0.3076510727405548,0.18461379408836365,45,solid
gentis,0.49185919761657715,0.3877769112586975,0.10408228635787964,501,genti
decorados,0.4911137521266937,0.4471030831336975,0.044010668992996216,27,decor
trazendo,0.4910975396633148,0.31664857268333435,0.17444896697998047,35,traze
anfitriao,0.4910655617713928,0.38542303442955017,0.10564252734184265,234,anfit
incentivo,0.48941031098365784,0.29577264189720154,0.1936376690864563,82,incen
promovendo,0.48887863755226135,0.31214264035224915,0.1767359972000122,32,promo
inabalavel,0.4886259138584137,0.26003503799438477,0.22859087586402893,37,inaba
impecavelmente,0.48738497495651245,0.44112658500671387,0.046258389949798584,76,impec
sanjeev,0.48691314458847046,0.4547887444496155,0.03212440013885498,32,sanje
indescritivel,0.4869072139263153,0.44943004846572876,0.03747716546058655,42,indes
transformadora,0.48573237657546997,0.4527331590652466,0.03299921751022339,39,trans
humilde,0.48523464798927307,0.44060593843460083,0.04462870955467224,166,humil
atenciosa,0.48514172434806824,0.4202191233634949,0.06492260098457336,1202,atenc
gentil,0.4850846230983734,0.43662142753601074,0.04846319556236267,1374,genti
prestativas,0.4838121235370636,0.36323320865631104,0.12057891488075256,65,prest
revigorante,0.48364338278770447,0.45756590366363525,0.026077479124069214,39,revig
energia,0.48302721977233887,0.2951955795288086,0.18783164024353027,777,energ
inspiracao,0.4826452136039734,0.3640047013759613,0.11864051222801208,88,inspi
alegria,0.48197928071022034,0.34280601143836975,0.13917326927185059,418,alegr
receptiva,0.48158714175224304,0.37270599603652954,0.1088811457157135,95,recep
apaixonados,0.4810636639595032,0.32423657178878784,0.15682709217071533,177,apaix
vinculo,0.4808957874774933,0.415954053401947,0.06494173407554626,31,vincu
relaxante,0.4808465838432312,0.4474407732486725,0.033405810594558716,376,relax
inspirar,0.48044827580451965,0.3500145971775055,0.13043367862701416,40,inspi
amani,0.47982123494148254,0.4545026123523712,0.025318622589111328,35,amani
atenciosas,0.47887638211250305,0.3774433135986328,0.10143306851387024,135,atenc
pacientes,0.47683900594711304,0.28168797492980957,0.19515103101730347,259,pacie
cuidando,0.4759081304073334,0.33417823910713196,0.14172989130020142,69,cuida
sorriso,0.4750649631023407,0.223512664437294,0.2515522986650467,240,sorri
envolvente,0.4736461341381073,0.3863423466682434,0.08730378746986389,241,envol
humorados,0.4731625020503998,0.31183335185050964,0.16132915019989014,29,humor
cativante,0.47242140769958496,0.44495889544487,0.027462512254714966,40,cativ
animado,0.47217488288879395,0.4442999064922333,0.02787497639656067,152,anima
familiar,0.4712787866592407,0.42817848920822144,0.04310029745101929,293,famil
autenticidade,0.4712015986442566,0.29795846343040466,0.17324313521385193,48,auten
dedicada,0.4710525870323181,0.3736238479614258,0.09742873907089233,158,dedic
curiosidade,0.46959108114242554,0.30633875727653503,0.1632523238658905,37,curio
sensivel,0.4688575863838196,0.391763299703598,0.07709428668022156,54,sensi
clima,0.46852922439575195,0.3329758942127228,0.13555333018302917,341,clima
genuinamente,0.46851158142089844,0.27410855889320374,0.1944030225276947,207,genui
cuidadosos,0.46734651923179626,0.4264225959777832,0.04092392325401306,59,cuida
simpaticos,0.4659578204154968,0.39108023047447205,0.07487758994102478,910,simpa
charme,0.4650562107563019,0.3905453681945801,0.0745108425617218,121,charm
yoga,0.4633583724498749,0.3379298448562622,0.12542852759361267,58,yoga
inestimaveis,0.4623970687389374,0.3344919979572296,0.12790507078170776,38,inest
relaxantes,0.4616788923740387,0.436686247587204,0.024992644786834717,48,relax
incentivar,0.4608277976512909,0.3621954619884491,0.0986323356628418,26,incen
atenta,0.46060606837272644,0.3486992418766022,0.11190682649612427,74,atent
simpatica,0.45978328585624695,0.4265325665473938,0.03325071930885315,1265,simpa
carinho,0.459416925907135,0.324147492647171,0.135269433259964,601,carin
empenho,0.4590412974357605,0.360966295003891,0.0980750024318695,34,empen
aconchegantes,0.45820552110671997,0.31898072361946106,0.1392247974872589,82,aconc
apoio,0.457902729511261,0.3259201943874359,0.13198253512382507,684,apoio
enriquecedora,0.4574545919895172,0.34086188673973083,0.11659270524978638,163,enriq
mentora,0.45726636052131653,0.4131713807582855,0.044094979763031006,38,mento
confortavel,0.45654886960983276,0.4279243052005768,0.02862456440925598,1757,confo
generosa,0.4564754068851471,0.40088367462158203,0.055591732263565063,51,gener
music,0.4558079242706299,0.4048337936401367,0.050974130630493164,28,music
apoia,0.4548715054988861,0.3609422445297241,0.09392926096916199,51,apoia
receptivo,0.4546619653701782,0.42499133944511414,0.029670625925064087,122,recep
crescimento,0.45425945520401,0.254171222448349,0.200088232755661,123,cresc
valiosa,0.45418015122413635,0.3850521445274353,0.06912800669670105,38,valio
compartilham,0.4540645480155945,0.3184063732624054,0.1356581747531891,30,compa
toca,0.45372632145881653,0.371487021446228,0.0822393000125885,37,toca
habilidosos,0.4536267817020416,0.3279930651187897,0.12563371658325195,43,habil
encantadoras,0.4535166323184967,0.3819437026977539,0.0715729296207428,35,encan
recepcionista,0.4534425735473633,0.2605069577693939,0.19293561577796936,93,recep
admiro,0.45322301983833313,0.35751470923423767,0.09570831060409546,30,admir
quentinho,0.453027606010437,0.41173121333122253,0.04129639267921448,25,quent
compreensiva,0.45287850499153137,0.35801973938941956,0.09485876560211182,47,compr
competencia,0.4527921974658966,0.34381839632987976,0.10897380113601685,132,compe
adicao,0.45225533843040466,0.4250880181789398,0.027167320251464844,30,adica
presenca,0.45212602615356445,0.2095380574464798,0.24258796870708466,147,prese
recebidos,0.4517354965209961,0.3520241677761078,0.0997113287448883,200,receb
membro,0.4513290524482727,0.277635782957077,0.17369326949119568,122,membr
proporciona,0.4512951076030731,0.3503219485282898,0.10097315907478333,95,propo
ceramistas,0.45124727487564087,0.33037397265434265,0.12087330222129822,25,ceram
parceiros,0.4512101113796234,0.36121711134910583,0.08999300003051758,53,parce
combine,0.4510549306869507,0.4100334644317627,0.04102146625518799,29,combi
evoluir,0.451013445854187,0.3276296555995941,0.1233837902545929,28,evolu
disposta,0.4506707787513733,0.32480308413505554,0.12586769461631775,69,dispo
felicidade,0.45021504163742065,0.28725212812423706,0.1629629135131836,114,felic
proativa,0.4497390687465668,0.32609182596206665,0.12364724278450012,28,proat
heritage,0.44972410798072815,0.42194482684135437,0.02777928113937378,56,herit
elegancia,0.4495099186897278,0.3706933259963989,0.07881659269332886,107,elega
ativo,0.449146032333374,0.42002108693122864,0.029124945402145386,31,ativo
villa,0.4489322304725647,0.3611936867237091,0.08773854374885559,38,villa
donos,0.44869324564933777,0.2755374312400818,0.17315581440925598,67,donos
terapeutico,0.4486565887928009,0.4174629747867584,0.03119361400604248,32,terap
caseiro,0.44851088523864746,0.4112175405025482,0.03729334473609924,86,casei
recepcao,0.4483620524406433,0.2744513154029846,0.1739107370376587,564,recep
proprietaria,0.44821974635124207,0.3058737516403198,0.14234599471092224,123,propr
seriedade,0.4480358958244324,0.3697216212749481,0.07831427454948425,37,serie
animadas,0.4477958381175995,0.3525727391242981,0.09522309899330139,42,anima
orgulhoso,0.44766098260879517,0.35544443130493164,0.09221655130386353,27,orgul
alegres,0.44740167260169983,0.3708738684654236,0.07652780413627625,60,alegr
meticuloso,0.4472394585609436,0.42608842253685,0.021151036024093628,53,metic
fundador,0.4471464157104492,0.37591463327407837,0.07123178243637085,28,funda
estruturadas,0.44713667035102844,0.2549612820148468,0.19217538833618164,43,estru
iluminado,0.4471133053302765,0.3662327527999878,0.0808805525302887,61,ilumi
lideranca,0.44690823554992676,0.38951438665390015,0.05739384889602661,44,lider
albergue,0.44680464267730713,0.2871897220611572,0.1596149206161499,53,alber
conforto,0.44669511914253235,0.32892805337905884,0.11776706576347351,655,confo
imensamente,0.44640985131263733,0.3790650963783264,0.06734475493431091,103,imens
movimentar,0.44624629616737366,0.3079744875431061,0.13827180862426758,36,movim
exuberante,0.4461337924003601,0.32090988755226135,0.12522390484809875,26,exube
positivo,0.4460599720478058,0.3513909578323364,0.09466901421546936,196,posit
criaram,0.44576534628868103,0.3386313021183014,0.10713404417037964,84,criar
adoraveis,0.4455617666244507,0.39511969685554504,0.05044206976890564,81,adora
gostinho,0.44551223516464233,0.4065737724304199,0.03893846273422241,28,gosti
criativa,0.44531455636024475,0.33144858479499817,0.11386597156524658,264,criat
dedica,0.44461941719055176,0.34043365716934204,0.10418576002120972,56,dedic
coordenada,0.4440699517726898,0.35430121421813965,0.08976873755455017,30,coord
cuja,0.44402292370796204,0.30431267619132996,0.13971024751663208,60,cuja
expressao,0.4439723491668701,0.22368758916854858,0.22028475999832153,54,expre
concierge,0.44284605979919434,0.4135589599609375,0.029287099838256836,27,conci
autentica,0.4426645338535309,0.3315175175666809,0.11114701628684998,281,auten
etica,0.44261038303375244,0.3115426003932953,0.13106778264045715,73,etica
enriqueceu,0.4422299861907959,0.41219282150268555,0.03003716468811035,28,enriq
feminino,0.4420936107635498,0.3645353615283966,0.0775582492351532,40,femin
entusiasmo,0.44174742698669434,0.2886659502983093,0.153081476688385,270,entus
profissionalismo,0.44148126244544983,0.3130728304386139,0.12840843200683594,1180,profi
meditacao,0.44147634506225586,0.2900397479534149,0.15143659710884094,30,medit
evolucao,0.4411831796169281,0.26403093338012695,0.17715224623680115,47,evolu
vibrante,0.44098082184791565,0.34037429094314575,0.1006065309047699,203,vibra
institute,0.4404650628566742,0.41406145691871643,0.026403605937957764,39,insti
tona,0.4404171109199524,0.2190828025341034,0.221334308385849,31,tona
toques,0.4403400421142578,0.33106285333633423,0.10927718877792358,48,toque
conservada,0.44006526470184326,0.35690343379974365,0.08316183090209961,30,conse
abencoada,0.43957000970840454,0.38126757740974426,0.05830243229866028,25,abenc
aproveitassemos,0.4394904673099518,0.343918114900589,0.09557235240936279,31,aprov
exercitar,0.43937739729881287,0.4031752347946167,0.03620216250419617,32,exerc
administrada,0.4391459822654724,0.31669437885284424,0.12245160341262817,60,admin
demonstra,0.438689261674881,0.23019079864025116,0.20849846303462982,68,demon
duradoura,0.43847236037254333,0.2288266122341156,0.20964574813842773,31,durad
saudades,0.43839719891548157,0.3452083468437195,0.09318885207176208,46,sauda
comprometidos,0.4382106065750122,0.4016648530960083,0.036545753479003906,53,compr
tipico,0.4382093846797943,0.3506981134414673,0.08751127123832703,42,tipic
expertise,0.4381333589553833,0.29836052656173706,0.13977283239364624,116,exper
respeitoso,0.43797752261161804,0.4110110402107239,0.026966482400894165,206,respe
proporcionam,0.4377288222312927,0.33875685930252075,0.09897196292877197,49,propo
carater,0.43723586201667786,0.34409207105636597,0.09314379096031189,33,carat
crescer,0.4372250437736511,0.2831057906150818,0.15411925315856934,148,cresc
paixao,0.4371330142021179,0.34357666969299316,0.09355634450912476,698,paixa
humano,0.4370679259300232,0.3154800236225128,0.12158790230751038,116,human
abencoado,0.4363376200199127,0.3393525779247284,0.09698504209518433,25,abenc
studios,0.4363292455673218,0.39933598041534424,0.03699326515197754,30,studi
delicadeza,0.4362560212612152,0.36739662289619446,0.06885939836502075,33,delic
perspicazes,0.43613943457603455,0.32282906770706177,0.11331036686897278,29,persp
bailarinos,0.4361109733581543,0.29698771238327026,0.13912326097488403,36,baila
guiaram,0.4360083341598511,0.33788686990737915,0.09812146425247192,34,guiar
aroma,0.4358363747596741,0.3704439699649811,0.065392404794693,45,aroma
srta,0.4357583820819855,0.40288615226745605,0.03287222981452942,70,srta
atelier,0.4356878697872162,0.3924948275089264,0.043193042278289795,45,ateli
incentivando,0.4355691373348236,0.259880930185318,0.17568820714950562,48,incen
compartilhamos,0.43513932824134827,0.37810492515563965,0.05703440308570862,26,compa
massagem,0.43474653363227844,0.3429082930088043,0.09183824062347412,48,massa
tratada,0.43453308939933777,0.1739290952682495,0.26060399413108826,33,trata
enfase,0.43428876996040344,0.41352394223213196,0.020764827728271484,31,enfas
italiana,0.4340599477291107,0.4038883149623871,0.030171632766723633,81,itali
generosos,0.4339945316314697,0.3961752653121948,0.0378192663192749,30,gener
docente,0.43360912799835205,0.29437655210494995,0.1392325758934021,81,docen
coordenadora,0.43345871567726135,0.347919762134552,0.08553895354270935,38,coord
conto,0.43344825506210327,0.3440559208393097,0.08939233422279358,42,conto
qualificada,0.4331468343734741,0.39370185136795044,0.03944498300552368,61,quali
educada,0.43313658237457275,0.3720584213733673,0.061078161001205444,362,educa
consistentemente,0.43305131793022156,0.3530617654323578,0.07998955249786377,39,consi
cresceu,0.4329896867275238,0.2857150733470917,0.14727461338043213,36,cresc
simpaticas,0.432742714881897,0.36751624941825867,0.0652264654636383,168,simpa
criativas,0.4326057732105255,0.4125332534313202,0.020072519779205322,108,criat
pole,0.4322882294654846,0.2718878388404846,0.160400390625,153,pole
privacidade,0.43222513794898987,0.28835466504096985,0.14387047290802002,62,priva
sinceridade,0.4321090281009674,0.28175315260887146,0.15035587549209595,40,since
seguro,0.4317067265510559,0.3758808374404907,0.055825889110565186,646,segur
recebido,0.4316336214542389,0.24160251021385193,0.19003111124038696,173,receb
infraestrutura,0.43140333890914917,0.242787167429924,0.18861617147922516,60,infra
interagir,0.43136265873908997,0.3520461320877075,0.07931652665138245,50,inter
condicionamento,0.43116605281829834,0.26506727933883667,0.16609877347946167,70,condi
esforca,0.431134432554245,0.36756688356399536,0.06356754899024963,56,esfor
apoiaram,0.4310934245586395,0.3571219742298126,0.0739714503288269,26,apoia
transformacao,0.4310034513473511,0.2614242732524872,0.1695791780948639,27,trans
